Date,Close
1/1/2017,8.18
1/2/2017,8.38
1/3/2017,9.59
1/4/2017,11.17
1/5/2017,10.23
1/6/2017,10.14
1/7/2017,9.92
1/8/2017,10.5
1/9/2017,10.39
1/10/2017,10.63
1/11/2017,9.95
1/12/2017,9.8
1/13/2017,9.84
1/14/2017,9.86
1/15/2017,9.9
1/16/2017,9.66
1/17/2017,10.34
1/18/2017,10.23
1/19/2017,10.42
1/20/2017,10.62
1/21/2017,10.93
1/22/2017,10.77
1/23/2017,10.8
1/24/2017,10.57
1/25/2017,10.55
1/26/2017,10.6
1/27/2017,10.55
1/28/2017,10.58
1/29/2017,10.49
1/30/2017,10.6
1/31/2017,10.7
2/1/2017,10.72
2/2/2017,10.82
2/3/2017,10.99
2/4/2017,11.41
2/5/2017,11.26
2/6/2017,11.34
2/7/2017,11.51
2/8/2017,11.41
2/9/2017,11.02
2/10/2017,11.43
2/11/2017,11.52
2/12/2017,11.5
2/13/2017,11.43
2/14/2017,13.14
2/15/2017,12.98
2/16/2017,12.89
2/17/2017,12.75
2/18/2017,12.89
2/19/2017,12.9
2/20/2017,12.61
2/21/2017,12.83
2/22/2017,12.75
2/23/2017,13.21
2/24/2017,13.2
2/25/2017,13.65
2/26/2017,14.74
2/27/2017,15.66
2/28/2017,16.4
3/1/2017,17.37
3/2/2017,19.27
3/3/2017,19.68
3/4/2017,18.65
3/5/2017,19.4
3/6/2017,19.68
3/7/2017,18.96
3/8/2017,16.68
3/9/2017,17.82
3/10/2017,19.2
3/11/2017,21.64
3/12/2017,23.39
3/13/2017,28.64
3/14/2017,28.69
3/15/2017,35.65
3/16/2017,45.96
3/17/2017,44.62
3/18/2017,33.64
3/19/2017,43.21
3/20/2017,42.31
3/21/2017,42.36
3/22/2017,41.37
3/23/2017,42.99
3/24/2017,52.93
3/25/2017,50.5
3/26/2017,50.73
3/27/2017,48.97
3/28/2017,50.3
3/29/2017,53.1
3/30/2017,51.88
3/31/2017,50.18
4/1/2017,50.71
4/2/2017,48.74
4/3/2017,44.25
4/4/2017,44.47
4/5/2017,44.78
4/6/2017,43.3
4/7/2017,42.32
4/8/2017,44.45
4/9/2017,43.92
4/10/2017,43.92
4/11/2017,43.83
4/12/2017,46.48
4/13/2017,49.77
4/14/2017,47.2
4/15/2017,48.94
4/16/2017,48.13
4/17/2017,47.94
4/18/2017,49.79
4/19/2017,47.78
4/20/2017,49.38
