Date,Close
1/3/2017,11.43
1/4/2017,11.43
1/5/2017,11.24
1/6/2017,11.32
1/9/2017,11.49
1/10/2017,11.44
1/11/2017,11.2
1/12/2017,10.76
1/13/2017,10.58
1/17/2017,9.82
1/18/2017,9.88
1/19/2017,9.77
1/20/2017,9.75
1/23/2017,9.91
1/24/2017,10.44
1/25/2017,10.35
1/26/2017,10.52
1/27/2017,10.67
1/30/2017,10.61
1/31/2017,10.37
2/1/2017,12.06
2/2/2017,12.28
2/3/2017,12.24
2/6/2017,13.63
2/7/2017,13.29
2/8/2017,13.56
2/9/2017,13.42
2/10/2017,13.58
2/13/2017,13.49
2/14/2017,13.26
2/15/2017,13.3
2/16/2017,12.97
2/17/2017,13.13
2/21/2017,14
2/22/2017,14.28
2/23/2017,14.32
2/24/2017,14.12
2/27/2017,15.2
2/28/2017,14.46
3/1/2017,14.96
3/2/2017,13.9
3/3/2017,13.03
3/6/2017,13.04
3/7/2017,13.05
3/8/2017,13.22
3/9/2017,13.33
3/10/2017,13.91
3/13/2017,14.28
3/14/2017,14.1
3/15/2017,13.98
3/16/2017,13.65
3/17/2017,13.49
3/20/2017,14.4
3/21/2017,13.82
3/22/2017,14.1
3/23/2017,13.79
3/24/2017,13.7
3/27/2017,13.7
3/28/2017,13.69
3/29/2017,13.71
3/30/2017,14.05
3/31/2017,14.55
4/3/2017,14.64
4/4/2017,14.16
4/5/2017,14.17
4/6/2017,13.27
4/7/2017,13.52
4/10/2017,13.1
4/11/2017,13.1
4/12/2017,12.76
4/13/2017,12.31
4/17/2017,12.79
4/18/2017,12.95
4/19/2017,12.84
4/20/2017,13.11
4/21/2017,13
4/24/2017,13.13
4/25/2017,13.49
4/26/2017,13.41
4/27/2017,13.62
4/28/2017,13.3
5/1/2017,13.62
5/2/2017,10.32
5/3/2017,10.39
5/4/2017,10.1
5/5/2017,10.19
5/8/2017,10.04
5/9/2017,10.18
5/10/2017,10.79
5/11/2017,11.07
5/12/2017,11.26
5/15/2017,11.42
5/16/2017,12.75
5/17/2017,11.2
5/18/2017,11.28
5/19/2017,11.41
5/22/2017,11.04
5/23/2017,10.89
5/24/2017,10.89
5/25/2017,10.98
5/26/2017,11
5/30/2017,11.12
5/31/2017,11.19
6/1/2017,10.93
6/2/2017,10.9
6/5/2017,11.24
6/6/2017,12.03
6/7/2017,12.38
6/8/2017,12.9
6/9/2017,12.28
6/12/2017,12.09
6/13/2017,11.96
6/14/2017,11.77
6/15/2017,11.5
6/16/2017,11.44
6/19/2017,11.93
6/20/2017,12.64
6/21/2017,13.98
6/22/2017,14.38
6/23/2017,14.17
6/26/2017,14.08
6/27/2017,13.4
6/28/2017,13.23
6/29/2017,12.6
6/30/2017,12.48
7/3/2017,12.15
7/5/2017,13.19
7/6/2017,13.02
7/7/2017,13.36
7/10/2017,13.81
7/11/2017,13.89
7/12/2017,14.29
7/13/2017,13.53
7/14/2017,13.92
7/17/2017,13.8
7/18/2017,13.48
7/19/2017,13.55
7/20/2017,13.8
7/21/2017,13.88
7/24/2017,14.16
7/25/2017,14.11
7/26/2017,14.76
7/27/2017,14.12
7/28/2017,13.95
7/31/2017,13.61
8/1/2017,13.71
8/2/2017,13.37
8/3/2017,13.24
8/4/2017,13.12
8/7/2017,13.43
8/8/2017,13.11
8/9/2017,12.83
8/10/2017,12.12
8/11/2017,12.23
8/14/2017,12.76
8/15/2017,13.02
8/16/2017,12.63
8/17/2017,12.34
8/18/2017,12.37
8/21/2017,12.05
8/22/2017,12.17
8/23/2017,12.48
8/24/2017,12.5
8/25/2017,12.43
8/28/2017,12.23
8/29/2017,12.15
8/30/2017,12.67
8/31/2017,13
9/1/2017,13.19
9/5/2017,12.92
9/6/2017,12.86
9/7/2017,12.63
9/8/2017,12.25
9/11/2017,12.55
9/12/2017,12.3
9/13/2017,12.22
9/14/2017,12.26
9/15/2017,12.52
9/18/2017,13.08
9/19/2017,13.12
9/20/2017,13.74
9/21/2017,13.41
9/22/2017,13.3
9/25/2017,12.61
9/26/2017,12.45
9/27/2017,12.74
9/28/2017,12.74
9/29/2017,12.75
10/2/2017,12.71
10/3/2017,13.42
10/4/2017,13.31
10/5/2017,13.34
10/6/2017,13.23
10/9/2017,13.47
10/10/2017,13.7
10/11/2017,13.88
10/12/2017,14.2
10/13/2017,14.22
10/16/2017,14.26
10/17/2017,14.16
10/18/2017,14.07
10/19/2017,13.95
10/20/2017,13.81
10/23/2017,14.1
10/24/2017,14.25
10/25/2017,12.33
10/26/2017,12.01
10/27/2017,11.84
10/30/2017,10.89
10/31/2017,10.99
11/1/2017,10.8
11/2/2017,10.85
11/3/2017,11.12
11/6/2017,11.93
11/7/2017,12.05
11/8/2017,11.71
11/9/2017,11.12
11/10/2017,11.26
11/13/2017,11.09
11/14/2017,11.12
11/15/2017,11.07
11/16/2017,11.25
11/17/2017,11.38
11/20/2017,11.34
11/21/2017,11.4
11/22/2017,11.37
11/24/2017,11.38
11/27/2017,11.55
11/28/2017,11.17
11/29/2017,10.83
11/30/2017,10.89
12/1/2017,10.73
12/4/2017,10.03
12/5/2017,9.91
12/6/2017,10
12/7/2017,10.04
12/8/2017,9.94
12/11/2017,10.16
12/12/2017,9.9
12/13/2017,10.11
12/14/2017,10.13
12/15/2017,10.29
12/18/2017,10.98
12/19/2017,10.95
12/20/2017,10.98
12/21/2017,10.89
12/22/2017,10.54
12/26/2017,10.46
12/27/2017,10.53
12/28/2017,10.55
12/29/2017,10.28
1/2/2018,10.98
1/3/2018,11.55
1/4/2018,12.12
1/5/2018,11.88
1/8/2018,12.28
1/9/2018,11.82
1/10/2018,11.96
1/11/2018,12.14
1/12/2018,12.02
1/16/2018,11.91
1/17/2018,12.18
1/18/2018,12.47
1/19/2018,12.59
1/22/2018,12.65
1/23/2018,12.94
1/24/2018,12.71
1/25/2018,12.41
1/26/2018,12.95
1/29/2018,13.32
1/30/2018,12.87
1/31/2018,13.74
2/1/2018,13.25
2/2/2018,12.45
2/5/2018,11.57
2/6/2018,11.65
2/7/2018,11.6
2/8/2018,11.22
2/9/2018,11.31
2/12/2018,11.68
2/13/2018,11.78
2/14/2018,12.2
2/15/2018,12.19
2/16/2018,11.82
2/20/2018,12.02
2/21/2018,11.72
2/22/2018,11.84
2/23/2018,12.07
2/26/2018,12.42
2/27/2018,12.53
2/28/2018,12.11
3/1/2018,11.9
3/2/2018,11.81
3/5/2018,11.91
3/6/2018,11.76
3/7/2018,12.24
3/8/2018,11.97
3/9/2018,11.7
3/12/2018,11.52
3/13/2018,11.64
3/14/2018,11.36
3/15/2018,11.46
3/16/2018,11.47
3/19/2018,11.43
3/20/2018,11.11
3/21/2018,11.26
3/22/2018,10.91
3/23/2018,10.63
3/26/2018,10.44
3/27/2018,10
3/28/2018,9.81
3/29/2018,10.05
4/2/2018,9.53
4/3/2018,9.55
4/4/2018,9.77
4/5/2018,10.02
4/6/2018,9.61
4/9/2018,9.53
4/10/2018,9.98
4/11/2018,9.82
4/12/2018,10.08
4/13/2018,9.93
4/16/2018,10.09
4/17/2018,10.52
4/18/2018,10.36
4/19/2018,10.11
4/20/2018,9.99
4/23/2018,10.04
4/24/2018,10.09
4/25/2018,9.71
4/26/2018,11.04
4/27/2018,11.11
4/30/2018,10.88
5/1/2018,11.13
5/2/2018,10.97
5/3/2018,10.93
5/4/2018,11.28
5/7/2018,11.59
5/8/2018,11.61
5/9/2018,11.95
5/10/2018,12.13
5/11/2018,11.95
5/14/2018,12.23
5/15/2018,12.45
5/16/2018,12.82
5/17/2018,12.82
5/18/2018,12.82
